1.03647638E8 129.18	2013-11-20
['1.03647638E8', '129.18', '2013-11-20']
1.05224285E8 130.35	2013-11-21
['1.05224285E8', '130.35', '2013-11-21']
1.06869084E8 131.02	2013-11-22
['1.06869084E8', '131.02', '2013-11-22']
1.09365418E8 131.23	2013-11-25
['1.09365418E8', '131.23', '2013-11-25']
1.13594995E8 132.15	2013-11-26
['1.13594995E8', '132.15', '2013-11-26']
1.16028541E8 133.5	2013-11-27
['1.16028541E8', '133.5', '2013-11-27']
1.1805759E8 133.51	2013-11-29
['1.1805759E8', '133.51', '2013-11-29']
1.11156257E8 127.68	2013-12-02
['1.11156257E8', '127.68', '2013-12-02']
1.03291214E8 126.6	2013-12-03
['1.03291214E8', '126.6', '2013-12-03']
9.9835263E7 126.46	2013-12-04
['9.9835263E7', '126.46', '2013-12-04']
1.02678003E8 126.83	2013-12-05
['1.02678003E8', '126.83', '2013-12-05']
1.05564138E8 128.61	2013-12-06
['1.05564138E8', '128.61', '2013-12-06']
1.03499731E8 128.57	2013-12-09
['1.03499731E8', '128.57', '2013-12-09']
1.01146577E8 127.55	2013-12-10
['1.01146577E8', '127.55', '2013-12-10']
9.7249079E7 126.77	2013-12-11
['9.7249079E7', '126.77', '2013-12-11']
9.4762358E7 126.58	2013-12-12
['9.4762358E7', '126.58', '2013-12-12']
9.3018914E7 126.43	2013-12-13
['9.3018914E7', '126.43', '2013-12-13']
9.5824216E7 127.66	2013-12-16
